Av,DN,GA,HQ,LS,PM,SD,ST,ZL
1,0,0,1,0,0,0,0,1
0,0,0,0,12,0,2,0,3
0,0,0,0,8,0,0,2,0
0,0,0,0,0,0,0,0,0
0,0,1,1,3,0,1,1,4
0,0,0,0,9,0,1,4,5
